"","dateannounced","numberofcases"
"1","01/04/2020",363
"2","02/02/2020",1
"3","02/03/2020",2
"4","03/02/2020",1
"5","03/03/2020",1
"6","04/03/2020",22
"7","05/03/2020",2
"8","06/03/2020",1
"9","07/03/2020",3
"10","08/03/2020",5
"11","09/03/2020",9
"12","10/03/2020",15
"13","11/03/2020",7
"14","12/03/2020",12
"15","13/03/2020",9
"16","14/03/2020",16
"17","15/03/2020",6
"18","16/03/2020",14
"19","17/03/2020",19
"20","18/03/2020",25
"21","19/03/2020",28
"22","20/03/2020",59
"23","21/03/2020",76
"24","22/03/2020",69
"25","23/03/2020",102
"26","24/03/2020",66
"27","25/03/2020",86
"28","26/03/2020",78
"29","27/03/2020",151
"30","28/03/2020",143
"31","29/03/2020",110
"32","30/01/2020",1
"33","30/03/2020",208
"34","31/03/2020",288
