"","dateannounced","numberofcases"
"1","01/04/2020",424
"2","02/02/2020",1
"3","02/03/2020",2
"4","02/04/2020",486
"5","03/02/2020",1
"6","03/03/2020",1
"7","03/04/2020",560
"8","04/03/2020",22
"9","04/04/2020",579
"10","05/03/2020",2
"11","05/04/2020",605
"12","06/03/2020",1
"13","06/04/2020",489
"14","07/03/2020",3
"15","07/04/2020",573
"16","08/03/2020",5
"17","08/04/2020",565
"18","09/03/2020",9
"19","09/04/2020",813
"20","10/03/2020",15
"21","10/04/2020",869
"22","11/03/2020",7
"23","12/03/2020",12
"24","13/03/2020",9
"25","14/03/2020",16
"26","15/03/2020",5
"27","16/03/2020",15
"28","17/03/2020",19
"29","18/03/2020",25
"30","19/03/2020",27
"31","20/03/2020",60
"32","21/03/2020",76
"33","22/03/2020",69
"34","23/03/2020",94
"35","24/03/2020",74
"36","25/03/2020",86
"37","26/03/2020",73
"38","27/03/2020",153
"39","28/03/2020",141
"40","29/03/2020",115
"41","30/01/2020",1
"42","30/03/2020",190
"43","31/03/2020",306
