"","dateannounced","numberofcases"
"1","01/04/2020",424
"2","02/02/2020",1
"3","02/03/2020",2
"4","02/04/2020",486
"5","03/02/2020",1
"6","03/03/2020",1
"7","03/04/2020",563
"8","04/03/2020",22
"9","04/04/2020",393
"10","05/03/2020",2
"11","06/03/2020",1
"12","07/03/2020",3
"13","08/03/2020",5
"14","09/03/2020",9
"15","10/03/2020",15
"16","11/03/2020",7
"17","12/03/2020",12
"18","13/03/2020",9
"19","14/03/2020",16
"20","15/03/2020",6
"21","16/03/2020",14
"22","17/03/2020",19
"23","18/03/2020",25
"24","19/03/2020",28
"25","20/03/2020",59
"26","21/03/2020",76
"27","22/03/2020",69
"28","23/03/2020",102
"29","24/03/2020",66
"30","25/03/2020",86
"31","26/03/2020",78
"32","27/03/2020",151
"33","28/03/2020",143
"34","29/03/2020",110
"35","30/01/2020",1
"36","30/03/2020",208
"37","31/03/2020",288
