"","dateannounced","numberofcases"
"1","01/04/2020",424
"2","02/02/2020",1
"3","02/03/2020",2
"4","02/04/2020",486
"5","03/02/2020",1
"6","03/03/2020",1
"7","03/04/2020",560
"8","04/03/2020",22
"9","04/04/2020",579
"10","05/03/2020",2
"11","05/04/2020",605
"12","06/03/2020",1
"13","06/04/2020",73
"14","07/03/2020",3
"15","08/03/2020",5
"16","09/03/2020",9
"17","10/03/2020",15
"18","11/03/2020",7
"19","12/03/2020",12
"20","13/03/2020",9
"21","14/03/2020",16
"22","15/03/2020",5
"23","16/03/2020",15
"24","17/03/2020",19
"25","18/03/2020",25
"26","19/03/2020",27
"27","20/03/2020",60
"28","21/03/2020",76
"29","22/03/2020",69
"30","23/03/2020",94
"31","24/03/2020",74
"32","25/03/2020",86
"33","26/03/2020",73
"34","27/03/2020",153
"35","28/03/2020",141
"36","29/03/2020",115
"37","30/01/2020",1
"38","30/03/2020",190
"39","31/03/2020",306
