"","dateannounced","numberofcases"
"1","01/04/2020",424
"2","02/02/2020",1
"3","02/03/2020",2
"4","02/04/2020",486
"5","03/02/2020",1
"6","03/03/2020",1
"7","03/04/2020",560
"8","04/03/2020",22
"9","04/04/2020",579
"10","05/03/2020",2
"11","05/04/2020",605
"12","06/03/2020",1
"13","06/04/2020",489
"14","07/03/2020",3
"15","07/04/2020",573
"16","08/03/2020",5
"17","08/04/2020",449
"18","09/03/2020",9
"19","10/03/2020",15
"20","11/03/2020",7
"21","12/03/2020",12
"22","13/03/2020",9
"23","14/03/2020",16
"24","15/03/2020",5
"25","16/03/2020",15
"26","17/03/2020",19
"27","18/03/2020",25
"28","19/03/2020",27
"29","20/03/2020",60
"30","21/03/2020",76
"31","22/03/2020",69
"32","23/03/2020",94
"33","24/03/2020",74
"34","25/03/2020",86
"35","26/03/2020",73
"36","27/03/2020",153
"37","28/03/2020",141
"38","29/03/2020",115
"39","30/01/2020",1
"40","30/03/2020",190
"41","31/03/2020",306
