"","dateannounced","numberofcases"
"1","01/04/2020",424
"2","02/02/2020",1
"3","02/03/2020",2
"4","02/04/2020",486
"5","03/02/2020",1
"6","03/03/2020",1
"7","03/04/2020",560
"8","04/03/2020",22
"9","04/04/2020",570
"10","05/03/2020",2
"11","05/04/2020",55
"12","06/03/2020",1
"13","07/03/2020",3
"14","08/03/2020",5
"15","09/03/2020",9
"16","10/03/2020",15
"17","11/03/2020",7
"18","12/03/2020",12
"19","13/03/2020",9
"20","14/03/2020",16
"21","15/03/2020",6
"22","16/03/2020",14
"23","17/03/2020",19
"24","18/03/2020",25
"25","19/03/2020",28
"26","20/03/2020",59
"27","21/03/2020",76
"28","22/03/2020",69
"29","23/03/2020",102
"30","24/03/2020",66
"31","25/03/2020",86
"32","26/03/2020",78
"33","27/03/2020",151
"34","28/03/2020",143
"35","29/03/2020",110
"36","30/01/2020",1
"37","30/03/2020",208
"38","31/03/2020",288
