"","dateannounced","numberofcases"
"1","01/04/2020",424
"2","02/02/2020",1
"3","02/03/2020",2
"4","02/04/2020",54
"5","03/02/2020",1
"6","03/03/2020",1
"7","04/03/2020",22
"8","05/03/2020",2
"9","06/03/2020",1
"10","07/03/2020",3
"11","08/03/2020",5
"12","09/03/2020",9
"13","10/03/2020",15
"14","11/03/2020",7
"15","12/03/2020",12
"16","13/03/2020",9
"17","14/03/2020",16
"18","15/03/2020",6
"19","16/03/2020",14
"20","17/03/2020",19
"21","18/03/2020",25
"22","19/03/2020",28
"23","20/03/2020",59
"24","21/03/2020",76
"25","22/03/2020",69
"26","23/03/2020",102
"27","24/03/2020",66
"28","25/03/2020",86
"29","26/03/2020",78
"30","27/03/2020",151
"31","28/03/2020",143
"32","29/03/2020",110
"33","30/01/2020",1
"34","30/03/2020",208
"35","31/03/2020",288
