"","dateannounced","numberofcases"
"1","01/04/2020",424
"2","02/02/2020",1
"3","02/03/2020",2
"4","02/04/2020",486
"5","03/02/2020",1
"6","03/03/2020",1
"7","03/04/2020",560
"8","04/03/2020",22
"9","04/04/2020",579
"10","05/03/2020",2
"11","05/04/2020",605
"12","06/03/2020",1
"13","06/04/2020",489
"14","07/03/2020",3
"15","07/04/2020",44
"16","08/03/2020",5
"17","09/03/2020",9
"18","10/03/2020",15
"19","11/03/2020",7
"20","12/03/2020",12
"21","13/03/2020",9
"22","14/03/2020",16
"23","15/03/2020",5
"24","16/03/2020",15
"25","17/03/2020",19
"26","18/03/2020",25
"27","19/03/2020",27
"28","20/03/2020",60
"29","21/03/2020",76
"30","22/03/2020",69
"31","23/03/2020",94
"32","24/03/2020",74
"33","25/03/2020",86
"34","26/03/2020",73
"35","27/03/2020",153
"36","28/03/2020",141
"37","29/03/2020",115
"38","30/01/2020",1
"39","30/03/2020",190
"40","31/03/2020",306
