"","dateannounced","numberofcases"
"1","01/04/2020",424
"2","02/02/2020",1
"3","02/03/2020",2
"4","02/04/2020",486
"5","03/02/2020",1
"6","03/03/2020",1
"7","03/04/2020",560
"8","04/03/2020",22
"9","04/04/2020",579
"10","05/03/2020",2
"11","05/04/2020",609
"12","06/03/2020",1
"13","06/04/2020",485
"14","07/03/2020",3
"15","07/04/2020",573
"16","08/03/2020",5
"17","08/04/2020",565
"18","09/03/2020",9
"19","09/04/2020",813
"20","10/03/2020",15
"21","10/04/2020",871
"22","11/03/2020",8
"23","11/04/2020",854
"24","12/03/2020",10
"25","12/04/2020",758
"26","13/03/2020",10
"27","13/04/2020",1243
"28","14/03/2020",11
"29","14/04/2020",1033
"30","15/03/2020",10
"31","15/04/2020",23
"32","16/03/2020",14
"33","17/03/2020",20
"34","18/03/2020",25
"35","19/03/2020",27
"36","20/03/2020",58
"37","21/03/2020",78
"38","22/03/2020",69
"39","23/03/2020",94
"40","24/03/2020",74
"41","25/03/2020",86
"42","26/03/2020",73
"43","27/03/2020",153
"44","28/03/2020",136
"45","29/03/2020",120
"46","30/01/2020",1
"47","30/03/2020",187
"48","31/03/2020",309
